config,engine,model,architecture,active_params,precision,hardware,gpus,rps,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,1,0.9937013228275964,254.38753864386467,71.89440647601441,71.16249649993733,76.95704700022361,110.06568843996774,3284.576045499989,3461.481321300107,3631.2716239901506,12.595182833333372,13.274867983920522,92.02868068833652,277.5371319311663,3.67,4.007446472728516,0.35077453710770456,11.424564923588049
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,200,11.3526052772992,2906.266950988595,15174.251961458005,10700.622680000151,29442.320888000224,31788.347563460324,32432.634866500164,41590.928070199836,41626.38558287012,79.69548404509766,85.16261734156794,85.29032258064517,268.05661290322575,3.67,0.35077453710770456,0.35077453710770456,1.0
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,25,11.14583970162272,2853.334963615416,6545.541222143988,1714.0409374999308,14569.293615999868,15267.116034390168,24375.844472999917,30395.65952890007,31686.845480210217,81.11159695686273,88.61731297646979,84.71428571428571,267.7425396825397,3.67,0.3572817273274927,0.35077453710770456,1.018550919554888
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,50,11.292318823033774,2890.833618696646,11511.444154317993,6975.2492825000445,22994.10401489995,24595.95876777012,28918.534992000103,36826.716872800076,37137.43628566016,80.04255585686259,85.88223251097963,83.85714285714286,266.9415873015872,3.67,0.3526472218432511,0.35077453710770456,1.0053387134396574
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,5,4.827664504196872,1235.8821130743993,92.78509367200695,84.3460569999479,121.30232319996139,165.74698498974152,4689.266387499856,5171.838961899948,5357.917782299919,17.984860701960546,19.90723890392135,92.56198347107438,276.8774380165289,3.67,0.824871914286759,0.35077453710770456,2.3515729536362664
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,100,9.688541332112749,2480.2665810208637,17109.043345313992,12535.307875499711,33051.23507769976,35838.15551132005,37660.99373750012,47323.149131600076,47425.88991092953,92.96572521176559,98.47743771921516,87.43661971830986,269.8385915492958,3.67,0.4110221265106297,0.4096702939731804,1.0032998061058775
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,10,8.400778206331134,2150.5992208207704,633.9700948540012,352.89678549997916,1936.357866699746,3169.2330007497912,21907.757759499873,27708.233333000044,28658.60645247939,84.63058659411878,107.05352390862912,88.60759493670886,273.32924050632903,3.67,0.4740280916010823,0.4096702939731804,1.1570965690573483
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,1,0.9957322440220524,254.90745446964542,77.51736766799058,76.51863999990383,82.06689540024854,127.84284696016127,2250.1865785000064,2416.40001890014,2534.086764349986,8.518621476470763,9.16713457686188,84.2925430210325,245.72546845124282,3.67,3.9992727814315083,0.4096702939731804,9.762174217331282
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,200,9.714387078763512,2486.883092163459,18304.092886613988,13665.147875500224,35262.41313870032,38196.44176918914,38708.403754000305,49074.06795819997,49121.22290968981,92.66362896470645,98.15522554823688,88.57142857142857,275.3879999999999,3.67,0.40992857591772863,0.4096702939731804,1.0006304629560598
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,25,9.656121603647446,2471.967130533746,9444.860201391999,4397.975883000072,19890.937695199955,21074.00098753067,29718.500872000277,37499.81982340059,38854.212508989454,93.42761426078319,99.2079426917653,87.32394366197182,270.3402816901408,3.67,0.412402103511921,0.4096702939731804,1.0066683124916045
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,50,9.7205116399575,2488.45097982912,14562.286043720003,9796.843656499732,28587.36363279959,30679.302412830202,34855.92095599986,44047.0528091998,44304.89871270933,92.61604522548892,98.19947605411774,87.32394366197182,269.29436619718314,3.67,0.4096702939731804,0.4096702939731804,1.0
A2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,A100_80GB_PCIe,1,5,4.887096819099795,1251.0967856895475,97.8994846179994,84.81547849987692,135.38871680038937,199.81566333969565,3213.5557040001004,3684.4638625995685,3947.6612324698453,12.199323684313534,13.968964007058009,92.76859504132231,280.822561983471,3.67,0.8148405911558418,0.4096702939731804,1.9890155648170733
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,100,8.011281881813769,2050.888161744325,16816.752056156085,8123.814544998822,44002.86389150025,48467.16891252028,46494.938395000645,56555.54518419941,57480.56579619937,88.17357954313218,113.42860625960994,89.28571428571429,277.34488095238095,3.67,0.4970746155057938,0.4921760622823957,1.009952847362551
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,10,7.3460836352689665,1880.5974106288554,2941.705504406,447.0646264999232,7573.3767410994915,8223.694857510327,27128.376655001375,30136.6852844998,31967.441923510232,94.07271397646814,115.25794700274655,89.52325581395348,274.00500000000005,3.67,0.5420854238566409,0.4921760622823957,1.1014055038410397
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,1,0.9922210785878247,254.00859611848313,84.4394304959751,83.09859800101549,104.66320180094047,133.63752331930294,4223.98711400092,5143.747507599985,6127.190755709926,16.22033082745189,19.862937540389854,91.15900383141762,237.7608045977011,3.67,4.013424978613406,0.4921760622823957,8.154449771493812
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,200,7.990065116471626,2045.4566698167362,18126.786278583982,9229.684949500552,46398.18616899977,51052.94314486056,47752.010004499425,59091.90235750048,60075.49364038885,88.44478242156708,113.43844513411553,88.0952380952381,272.90500000000003,3.67,0.4983945441072492,0.4921760622823957,1.0126346693823673
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,25,7.911487680781143,2025.3408462799725,10122.016996000028,1291.3729825004339,18312.02859860059,35181.72285466894,39117.44550599997,43226.12598879896,44627.01824418988,95.1727197058847,112.72276262784243,88.5679012345679,275.6397530864198,3.67,0.5033446327401633,0.4921760622823957,1.0226922260419877
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,50,8.091016947561831,2071.300338575829,14362.660697961957,5445.324782000171,39764.31321779985,43575.651679339644,43957.830056499006,51758.48590110018,52396.86392302968,88.53710772156917,113.03440119607868,87.96385542168674,274.17638554216865,3.67,0.4921760622823957,0.4921760622823957,1.0
A3,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,float16,A100_80GB_PCIe,1,5,4.72272650780122,1209.0179859971124,146.044313569957,141.0963325006378,180.30561179912183,216.42511266001745,10167.24344999966,10866.74227229978,11120.921142119714,39.34707521372426,41.97845637097748,92.85714285714286,279.5170634920635,3.67,0.8432003959012065,0.4921760622823957,1.7132088708073
A4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,A100_80GB_PCIe,1,100,11.189004282168483,2864.3850962351316,12921.590420133976,8047.20689000078,25978.40520460104,28066.233180649706,30044.095477499468,40010.4476232993,40087.07620033942,79.3213254529452,86.25925268666512,85.81538461538462,269.2307692307692,3.67,0.3559034173807056,0.35563280595645264,1.0007609293060722
